Bureau of Justice Statistics,,,,,,,,,,,
Filename: cv18at01.csv,,,,,,,,,,,
"Appendix table 1. Estimates and standard errors for figure 1: Percent of U.S. residents age 12 or older who were victims of violent crime, 1993-2018",,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2018.",,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 1. Estimates and standard errors for figure 1: Percent of U.S. residents age 12 or older who were victims of violent crime, 1993-2018",,,,,,,,,,,
,,,,Percent of persons,,,,,,,
,Number of persons,,,,,,,95% confidence interval,,,
Year,Estimate,Standard error,,Estimate,,Standard error,,Lower bound,,Upper bound,
1993,"6,179,940","86,686",,2.93,%,0.038,%,2.856,%,3.006,%
1994,"6,990,270","182,244",,3.28,,0.075,,3.135,,3.431,
1995,"6,446,770","163,323",,3,,0.064,,2.873,,3.127,
1996,"5,889,910","150,960",,2.71,,0.059,,2.597,,2.83,
1997,"5,820,310","219,722",,2.65,,0.078,,2.498,,2.806,
1998,"5,429,610","204,271",,2.45,,0.082,,2.29,,2.614,
1999,"4,744,180","161,025",,2.11,,0.072,,1.976,,2.259,
2000,"4,263,640","173,859",,1.88,,0.071,,1.745,,2.025,
2001,"3,899,760","163,080",,1.7,,0.06,,1.587,,1.824,
2002,"3,593,690","145,715",,1.55,,0.055,,1.448,,1.663,
2003,"3,537,510","139,425",,1.48,,0.049,,1.384,,1.579,
2004,"3,478,620","157,411",,1.44,,0.057,,1.331,,1.556,
2005,"3,350,630","153,848",,1.37,,0.052,,1.271,,1.478,
2006*,"4,154,930","153,706",,1.68,,0.055,,1.576,,1.792,
2007,"3,308,010","128,862",,1.32,,0.051,,1.225,,1.425,
2008,"3,298,910","119,940",,1.31,,0.045,,1.222,,1.4,
2009,"2,978,170","124,579",,1.17,,0.046,,1.086,,1.265,
2010,"2,753,160","128,035",,1.08,,0.049,,0.983,,1.177,
2011,"3,089,720","129,545",,1.2,,0.045,,1.115,,1.291,
2012,"3,575,900","130,914",,1.36,,0.047,,1.276,,1.46,
2013,"3,041,170","109,612",,1.15,,0.04,,1.074,,1.232,
2014,"2,948,540","112,590",,1.11,,0.042,,1.026,,1.191,
2015,"2,650,670","115,649",,0.98,,0.041,,0.905,,1.069,
2016,"2,882,320","102,772",,1.06,,0.036,,0.99,,1.132,
2017,"3,106,340","105,403",,1.14,,0.038,,1.067,,1.218,
2018,"3,254,250","106,453",,1.18,,0.037,,1.112,,1.257,
"*Estimates for 2006 should not be compared to other years. See Criminal Victimization, 2007 (NCJ 224390, BJS web, December 2008) for more information on changes to the 2006 National Crime Victimization Survey.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2018.",,,,,,,,,,,
