Bureau of Justice Statistics,,,,,,,,,,
Filename: cv18at04.csv,,,,,,,,,,
"Appendix table 4. Estimates and standard errors for figure 4: Comparison of percent of U.S. residents age 12 or older who were victims of serious crime, 2014 and 2018",,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2018.",,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,
,,,,,,,,,,
"Appendix table 4. Estimates and standard errors for figure 4: Comparison of percent of U.S. residents age 12 or older who were victims of serious crime, 2014 and 2018",,,,,,,,,,
,,Estimate,,,,,Standard error,,,
,,2014,,2018*,,,2014,,2018,
Total serious crime,,1.89,% †,1.68,%,,0.073,%,0.064,%
,Male,1.94, ‡,1.72,,,0.088,,0.079,
,Female,1.83, ‡,1.65,,,0.08,,0.066,
,Hispanic,2.5, †,1.89,,,0.22,,0.181,
Note: See table 20 for serious-crime definitions. ,,,,,,,,,,
*Comparison year.,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2018.",,,,,,,,,,
