Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cv18at06.csv,,,,,,,,,,,,,,,,
"Appendix table 6. Standard errors for table 1: Number and rate of violent victimizations, by type of crime, 2014-2018",,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 6. Standard errors for table 1: Number and rate of violent victimizations, by type of crime, 2014-2018",,,,,,,,,,,,,,,,
,,,2014,,,2015,,,2016,,,2017,,,2018,
Type of violent crime,,,Number,"Rate per 1,000",,Number,"Rate per 1,000",,Number,"Rate per 1,000",,Number,"Rate per 1,000",,Number,"Rate per 1,000"
Violent crime,,,"326,328",1.22,,"312,236",1.16,,"259,442",0.95,,"279,729",1.03,,"358,555",1.3
,Rape/sexual assault,,"48,603",0.18,,"64,514",0.24,,"41,819",0.15,,"53,259",0.2,,"82,220",0.3
,Robbery,,"82,903",0.31,,"77,405",0.29,,"54,278",0.2,,"69,542",0.26,,"69,618",0.25
,Assault,,"286,771",1.08,,"269,261",1,,"234,929",0.86,,"246,366",0.9,,"306,794",1.11
,,Aggravated assault,"114,257",0.43,,"96,201",0.36,,"90,320",0.33,,"93,396",0.34,,"105,175",0.38
,,Simple assault,"237,439",0.89,,"231,742",0.86,,"198,811",0.73,,"210,851",0.77,,"261,563",0.95
Violent crime excluding simple assault,,,"172,098",0.65,,"161,399",0.6,,"127,938",0.47,,"144,783",0.53,,"182,000",0.66
Selected characteristics of violent crime,,,,,,,,,,,,,,,,
,Domestic violence,,"130,862",0.49,,"134,994",0.5,,"108,702",0.4,,"119,259",0.44,,"137,389",0.5
,,Intimate partner violence,"89,469",0.34,,"109,654",0.41,,"73,566",0.27,,"78,877",0.29,,"100,436",0.36
,Stranger violence,,"207,081",0.78,,"191,190",0.71,,"171,101",0.63,,"166,738",0.61,,"212,208",0.77
,Violent crime involving injury,,"151,608",0.57,,"152,053",0.56,,"118,979",0.44,,"119,939",0.44,,"145,604",0.53
,Violent crime involving a weapon,,"146,350",0.55,,"125,014",0.46,,"117,825",0.43,,"120,735",0.44,,"137,150",0.5
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,
