Bureau of Justice Statistics,,,,,,
Filename: cv18at14.csv,,,,,,
"Appendix table 14. Standard errors for table 9: Rate of violent victimization, by type of crime and demographic characteristics of victims, 2017 and 2018 ",,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 9/10/19,,,,,,
,,,,,,
"Appendix table 14. Standard errors for table 9: Rate of violent victimization, by type of crime and demographic characteristics of victims, 2017 and 2018 ",,,,,,
,,,,,,
,,Total violent victimization,,,Violent victimization excluding simple assault,
Victim demographic characteristic,,2017,2018,,2017,2018
,Total,1.03,1.3,,0.53,0.66
Sex,,,,,,
,Male,1.49,1.74,,0.73,0.83
,Female,1.49,1.83,,0.77,0.97
Race/ethnicity,,,,,,
,White,1.4,1.76,,0.67,0.82
,Black,2.42,2.49,,1.27,1.56
,Hispanic,2.1,2.1,,1.27,1.25
,Asian,1.51,2.64,,0.83,1.33
,Other,6.75,7.33,,3.55,4.26
Age,,,,,,
, 12-17,3.48,3.8,,1.67,1.72
,18-24,3.35,3.72,,2.23,2.22
,25-34,2.48,3.05,,1.2,1.53
,35-49,1.88,2.38,,0.98,1.26
,50-64,1.63,1.91,,0.7,0.94
,65 or older,0.98,1.01,,0.45,0.51
Marital status,,,,,,
,Never married,2.18,2.53,,1.17,1.33
,Married,1.01,1.17,,0.44,0.56
,Widow/widower,2.15,2.32,,1.3,1.19
,Divorced,3.1,4.03,,1.56,2.14
,Separated,7.63,8.76,,4.25,4.66
Household income,,,,,,
,"Less than $25,000",2.66,3.46,,1.46,2.09
,"$25,000-$49,999",1.85,2.18,,1.02,1.16
,"$50,000-$99,999",1.52,1.59,,0.69,0.68
,"$100,000-$199,999",1.75,2.14,,0.86,0.97
,"$200,000 or more",2.01,2.74,,0.83,0.95
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,
