Bureau of Justice Statistics,,,,,,,
Filename: cv18at15.csv,,,,,,,
"Appendix table 15. Standard errors for table 10: Number and rate of violent victimizations, by victim’s veteran and citizenship status, 2017 and 2018",,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 9/10/19,,,,,,,
,,,,,,,
"Appendix table 15. Standard errors for table 10: Number and rate of violent victimizations, by victim’s veteran and citizenship status, 2017 and 2018",,,,,,,
,,,2017,,,2018,
Victim veteran and citizenship status,,,Number,"Rate per 1,000",,Number,"Rate per 1,000"
,Total violent victimizations,,"279,729",1.03,,"358,555",1.3
Veteran status,,,,,,,
,Veteran,,"51,591",2.76,,"57,883",3.03
,Non-veteran,,"280,714",1.23,,"349,032",1.51
Citizenship status,,,,,,,
,U.S. citizen,,"319,369",1.25,,"396,806",1.54
,,U.S.-born citizen,"311,260",1.33,,"385,079",1.63
,,Naturalized U.S. citizen,"35,897",1.61,,"45,358",1.93
,Non-U.S. citizen,,"42,752",2.57,,"37,295",2.3
,U.S.-born,,"311,260",1.33,,"385,079",1.63
,Foreign-born,,"61,644",1.58,,"66,071",1.67
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,,
