Bureau of Justice Statistics,,,,,
Filename: cv18at16.csv,,,,,
"Appendix table 16. Standard errors for table 11: Firearm violence, 2017 and 2018",,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,
Date of version: 9/10/19,,,,,
,,,,,
"Appendix table 16. Standard errors for table 11: Firearm violence, 2017 and 2018",,,,,
,,2017,,2018,
Total violent incidents,,"265,684",,"341,914",
,Firearm incidents,"58,041",,"62,909",
Total violent victimizations,,"279,729",,"358,555",
,Firearm victimizations,"61,479",,"67,155",
Rate of firearm victimization,,0.23,,0.24,
Firearm victimizations reported to police,,,,,
,Number,"42,182",,"50,636",
,Percent,5.37,%,5.23,%
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,
