Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cv18at17.csv,,,,,,,,,,,,,,,,,
"Appendix table 17. Standard errors for table 12: Percent and number of violent incidents, by total population, victim, and offender demographic characteristics, 2018",,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018.",,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 17. Standard errors for table 12: Percent and number of violent incidents, by total population, victim, and offender demographic characteristics, 2018",,,,,,,,,,,,,,,,,
,,,,,Percent of violent incidents,,,,,,,,,,,,
,,,,,Offender,,,,,,,Victim ,,,,,
,,Number of  violent incidents,,,,,95% confidence interval,,,,,,,95% confidence interval,,,
Demographic characteristic,,Offender,Victim ,,Standard error,,Lower bound,,Upper bound,,,Standard error,,Lower bound,,Upper bound,
,Total,"341,914","341,914",,~,,~,,~,,,~,,~,,~,
Sex,,,,,,,,,,,,,,,,,
,Male,"305,652","228,389",,2.16,%,72.8,%,81.25,%,,2.35,%,41.95,%,51.17,%
,Female,"112,651","251,322",,1.66,,15.02,,21.5,,,2.39,,48.75,,58.13,
,Both male and female offenders,"44,764",~,,0.75,,3.24,,6.19,,,~,,~,,~,
Race/ethnicity,,,,,,,,,,,,,,,,,
,White,"222,508","292,342",,2.46,%,45.36,%,55,%,,2.32,%,61.92,%,71.02,%
,Black,"124,454","83,242",,1.82,,18.15,,25.3,,,1.21,,8.46,,13.19,
,Hispanic,"93,835","98,657",,1.47,,11.54,,17.31,,,1.39,,11.14,,16.59,
,Asian,"28,592","43,706",,0.51,,1.46,,3.47,,,0.68,,2.85,,5.52,
,Other,"68,069","46,913",,1.13,,6.82,,11.23,,,0.73,,3.23,,6.08,
,Multiple offenders of various races,"26,370",~,,0.47,,1.25,,3.1,,,~,,~,,~,
Age,,,,,,,,,,,,,,,,,
,11 or younger,"20,806",~,,0.4,%,0.8,%,2.35,%,,~,,~,,~,
, 12-17,"89,044","97,312",,1.47,,11.13,,16.89,,,1.37,%,10.9,%,16.28,%
,18-29,"132,519","164,867",,1.98,,21.05,,28.8,,,2.02,,25.16,,33.08,
,30 or older,"225,685","263,737",,2.51,,48.76,,58.59,,,2.39,,52.6,,61.98,
,Multiple offenders of various ages,"48,968",~,,0.88,,4.09,,7.54,,,~,,~,,~,
~Not applicable. ,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018.",,,,,,,,,,,,,,,,,
