Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cv18at22.csv,,,,,,,,,,,,,,,,,
"Appendix table 22. Standard errors for table 17: Number and percent of persons who were victims of violent crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 22. Standard errors for table 17: Number and percent of persons who were victims of violent crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,
,,Number of victims,,,,,,Percent of persons,,,,,,,,,
Victim demographic characteristic,,2014,2015,2016,2017,2018,,2014,,2015,,2016,,2017,,2018,
,Total,"112,590","115,649","98,610","105,403","106,453",,0.042,% ,0.041,% ,0.036,% ,0.038,% ,0.037,% 
Sex,,,,,,,,,,,,,,,,,
,Male,"75,274","73,625","69,568","77,130","65,162",,0.058,% ,0.055,% ,0.053,% ,0.057,% ,0.047,% 
,Female,"70,027","76,817","63,121","67,275","75,560",,0.051,,0.053,,0.045,,0.048,,0.053,
Race/ethnicity,,,,,,,,,,,,,,,,,
,White,"87,557","90,112","68,491","80,825","85,112",,0.049,% ,0.049,% ,0.039,% ,0.044,% ,0.047,% 
,Black,"43,208","41,050","33,953","34,805","40,446",,0.129,,0.121,,0.101,,0.103,,0.121,
,Hispanic,"37,420","41,842","49,641","41,936","39,611",,0.084,,0.084,,0.108,,0.092,,0.082,
,Asian,"13,693","14,594","19,128","13,341","16,806",,0.103,,0.098,,0.122,,0.081,,0.094,
,Other,"21,237","21,371","19,470","20,478","22,280",,0.386,,0.401,,0.347,,0.318,,0.321,
Age,,,,,,,,,,,,,,,,,
, 12-17,"41,146","37,288","33,013","38,691","35,628",,0.159,% ,0.141,% ,0.132,% ,0.16,% ,0.143,% 
,18-24,"43,521","44,560","38,603","40,110","41,447",,0.147,,0.144,,0.127,,0.131,,0.136,
,25-34,"42,242","39,884","47,256","39,268","48,172",,0.098,,0.09,,0.107,,0.089,,0.106,
,35-49,"45,701","49,512","41,698","39,338","42,044",,0.075,,0.08,,0.068,,0.065,,0.067,
,50-64,"44,251","39,308","34,644","41,777","41,860",,0.071,,0.062,,0.055,,0.065,,0.065,
,65 or older,"16,670","20,567","21,991","22,991","24,644",,0.037,,0.045,,0.046,,0.046,,0.047,
Marital status,,,,,,,,,,,,,,,,,
,Never married,"82,416","82,336","74,103","78,598","71,578",,0.087,% ,0.085,% ,0.078,% ,0.083,% ,0.074,% 
,Married,"47,301","47,092","45,252","43,799","50,693",,0.037,,0.036,,0.036,,0.034,,0.038,
,Widow/widower,"13,712","16,233","15,558","15,866","21,435",,0.092,,0.11,,0.104,,0.103,,0.137,
,Divorced,"33,881","36,906","30,684","38,579","32,608",,0.132,,0.134,,0.113,,0.142,,0.116,
,Separated,"22,313","14,078","17,755","17,247","18,124",,0.439,,0.274,,0.351,,0.341,,0.34,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,
