Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cv18at24.csv,,,,,,,,,,,,,,,,,
"Appendix table 24. Standard errors for table 19: Number and percent of persons who were victims of serious crime, 2014-2018",,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 24. Standard errors for table 19: Number and percent of persons who were victims of serious crime, 2014-2018",,,,,,,,,,,,,,,,,
,,Number of victims,,,,,,Percent of persons,,,,,,,,,
Type of crime,,2014,2015,2016,2017,2018,,2014,,2015,,2016,,2017,,2018,
,Total serious crime,"201,005","186,600","178,870","182,207","185,193",,0.073,%,0.065,%,0.066,%,0.065,%,0.064,%
Serious violent crime,,"65,284","60,607","58,125","56,694","60,810",,0.024,%,0.023,%,0.021,%,0.021,%,0.022,%
,Rape/sexual assault excl. threats and no-force contact,"16,677","26,077","20,020","16,051","27,529",,0.006,,0.01,,0.007,,0.006,,0.01,
,Robbery,"42,962","36,761","28,206","34,671","30,657",,0.016,,0.014,,0.01,,0.013,,0.011,
,Aggravated assault,"47,418","42,626","50,020","43,542","43,726",,0.017,,0.016,,0.018,,0.016,,0.016,
Serious property crime,,"189,800","179,271","165,105","178,302","168,239",,0.07,%,0.063,%,0.061,%,0.064,%,0.059,%
,Completed burglary,"167,747","163,829","142,340","151,871","145,855",,0.062,,0.058,,0.052,,0.055,,0.052,
,Completed motor-vehicle theft,"85,086","83,193","87,688","80,923","93,986",,0.032,,0.03,,0.032,,0.03,,0.034,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,
