Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cv18at25.csv,,,,,,,,,,,,,,,,,
"Appendix table 25. Standard errors for table 20: Number and percent of persons who were victims of serious crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 25. Standard errors for table 20: Number and percent of persons who were victims of serious crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,
,,Number of victims,,,,,,Percent of persons,,,,,,,,,
Victim demographic characteristic,,2014,2015,2016,2017,2018,,2014,,2015,,2016,,2017,,2018,
,Total ,"201,005","186,600","178,870","182,207","185,193",,0.073,%,0.065,%,0.066,%,0.065,%,0.064,%
Sex,,,,,,,,,,,,,,,,,
,Male,"116,637","104,503","104,272","104,369","111,655",,0.088,%,0.077,%,0.079,%,0.075,%,0.079,%
,Female,"112,966","116,364","103,795","101,171","97,913",,0.08,,0.079,,0.074,,0.073,,0.066,
Race/ethnicity,,,,,,,,,,,,,,,,,
,White,"135,471","146,401","122,205","142,228","126,137",,0.076,%,0.081,%,0.069,%,0.077,%,0.069,%
,Black,"85,248","73,743","61,727","65,578","69,209",,0.253,,0.213,,0.183,,0.188,,0.201,
,Hispanic,"100,812","92,639","92,360","80,522","88,937",,0.22,,0.185,,0.198,,0.176,,0.181,
,Asian,"34,633","23,230","42,171","25,710","16,235",,0.255,,0.155,,0.264,,0.158,,0.092,
,Other,"32,210","28,844","23,918","26,344","29,983",,0.558,,0.533,,0.412,,0.396,,0.45,
Age,,,,,,,,,,,,,,,,,
, 12-17,"61,177","55,802","52,257","48,716","51,157",,0.23,%,0.219,%,0.209,%,0.193,%,0.198,%
,18-24,"70,517","51,409","58,171","50,062","42,983",,0.228,,0.168,,0.192,,0.166,,0.141,
,25-34,"54,889","62,028","65,209","50,249","62,050",,0.127,,0.138,,0.147,,0.114,,0.132,
,35-49,"72,973","65,051","62,009","71,070","71,120",,0.115,,0.105,,0.102,,0.115,,0.108,
,50-64,"62,512","59,695","57,111","50,286","63,881",,0.101,,0.091,,0.09,,0.077,,0.101,
,65 or older,"42,789","43,673","43,266","41,418","44,039",,0.097,,0.091,,0.09,,0.08,,0.083,
Marital status,,,,,,,,,,,,,,,,,
,Never married,"127,679","109,396","109,473","90,098","101,533",,0.132,%,0.113,%,0.114,%,0.096,%,0.101,%
,Married,"95,329","95,055","93,243","101,769","83,126",,0.075,,0.073,,0.073,,0.078,,0.062,
,Widow/widower,"23,688","25,901","25,149","21,940","27,546",,0.161,,0.169,,0.167,,0.14,,0.178,
,Divorced,"46,283","47,301","43,066","34,732","45,501",,0.176,,0.165,,0.154,,0.127,,0.157,
,Separated,"20,439","18,743","17,634","19,392","22,900",,0.392,,0.364,,0.353,,0.381,,0.431,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,
