Bureau of Justice Statistics,,,,,,
Filename: cv18at26.csv,,,,,,
"Appendix table 26. Population size for persons age 12 or older, by demographic characteristics, 2014-2018",,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 9/10/19,,,,,,
,,,,,,
"Appendix table 26. Population size for persons age 12 or older, by demographic characteristics, 2014-2018",,,,,,
Demographic characteristic,,2014,2015,2016,2017,2018
,Total,"266,665,160","269,526,470","272,204,190","272,468,480","275,325,390"
Sex,,,,,,
,Male,"129,889,490","131,173,670","132,525,350","132,432,710","133,907,490"
,Female,"136,775,670","138,352,800","139,678,840","140,035,770","141,417,890"
Race/ethnicity,,,,,,
,White/a,"173,552,050","173,043,610","172,882,890","171,454,370","171,493,180"
,Black/a,"32,814,730","33,242,330","33,623,820","32,699,520","33,132,390"
,Hispanic,"41,409,860","43,314,490","44,470,950","45,481,910","46,997,610"
,Asian/a,"13,436,120","14,663,500","15,719,020","16,582,080","17,228,930"
,"Other/a,b","5,452,400","5,262,540","5,507,510","6,250,600","6,473,280"
Age,,,,,,
, 12-17,"25,134,450","24,826,110","25,043,610","24,911,170","24,917,160"
,18-24,"30,395,090","30,504,250","30,301,000","29,883,550","29,838,720"
,25-34,"43,111,770","43,693,960","44,303,050","44,327,500","44,946,880"
,35-49,"60,702,970","60,928,420","61,158,070","60,878,870","61,429,050"
,50-64,"62,332,000","63,004,570","63,332,410","62,955,630","62,940,810"
,65 or older,"44,988,890","46,569,150","48,066,050","49,511,760","51,252,780"
Marital status,,,,,,
,Never married,"91,857,730","93,289,060","95,415,230","96,211,120","97,152,920"
,Married,"127,104,460","127,167,850","127,704,070","127,923,650","128,744,200"
,Widow/widower,"14,649,410","14,779,490","15,053,020","14,832,940","15,166,010"
,Divorced,"26,028,400","27,084,680","27,189,410","26,776,250","27,360,570"
,Separated,"5,076,720","5,124,520","5,022,050","4,937,290","5,129,600"
"a/Excludes persons of Hispanic/Latino origin, (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,
"b/Includes Native Hawaiians and Other Pacific Islanders, American Indians and Alaska Natives, and persons of two or more races.",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,
