Bureau of Justice Statistics,,,
Filename: cv18f01.csv,,,
"Figure 1. Percent of U.S. residents age 12 or older who were victims of violent crime, 1993-2018",,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2018.",,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,
Date of version: 9/10/19,,,
,,,
"Figure 1. Percent of U.S. residents age 12 or older who were victims of violent crime, 1993-2018",,,
,Estimate,Lower bound,Upper bound
1993,2.93,2.86,3.01
1994,3.28,3.13,3.43
1995,3,2.87,3.13
1996,2.71,2.6,2.83
1997,2.65,2.5,2.81
1998,2.45,2.29,2.61
1999,2.11,1.98,2.26
2000,1.88,1.74,2.03
2001,1.7,1.59,1.82
2002,1.55,1.45,1.66
2003,1.48,1.38,1.58
2004,1.44,1.33,1.56
2005,1.37,1.27,1.48
2006,1.68,1.58,1.79
2007,1.32,1.23,1.42
2008,1.31,1.22,1.4
2009,1.17,1.09,1.27
2010,1.08,0.98,1.18
2011,1.2,1.11,1.29
2012,1.36,1.28,1.46
2013,1.15,1.07,1.23
2014,1.11,1.03,1.19
2015,0.98,0.91,1.07
2016,1.06,0.99,1.13
2017,1.14,1.07,1.22
2018,1.18,1.11,1.26
Note: See table 16 for definitions and appendix table 1 for estimates.,,,
"Source: Bureau of Justice Statistics, NCVS, 1993-2018.",,,
