Bureau of Justice Statistics,,,,,,,
Filename: cv18f05.csv,,,,,,,
"Figure 5. Rate of violent victimization and rate of violent victimization reported to police, 1993-2018",,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2018.",,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,
Date of version: 9/10/19,,,,,,,
,,,,,,,
"Figure 5. Rate of violent victimization and rate of violent victimization reported to police, 1993-2018",,,,,,,
,Rate of violent victimization,,,,Rate of violent victimization reported to police,,
Year,"Rate per 1,000 persons age 12 or older",Lower bound,Upper bound,,"Rate per 1,000 persons age 12 or older",Lower bound,Upper bound
1993,79.8,74.02,85.51,,33.8,29.88,37.81
1994,80,74.7,85.37,,32.4,29.16,35.62
1995,70.7,65.96,75.4,,28.9,25.82,32.02
1996,64.7,59.56,69.88,,26.1,22.93,29.27
1997,61.1,55.61,66.52,,25.6,22.19,29.03
1998,54.1,49.01,59.26,,24.6,21.32,27.78
1999,47.2,42.61,51.8,,20.3,17.4,23.24
2000,37.5,33.6,41.38,,17.2,14.59,19.88
2001,32.6,29.35,35.88,,16,13.73,18.22
2002,32.1,28.01,36.11,,16.3,13.54,19.02
2003,32.1,28.79,35.39,,15.2,12.87,17.62
2004,27.8,25.19,30.46,,14,12.05,15.95
2005,28.4,25.21,31.62,,13,10.9,15.11
2006,34.1,30.44,37.76,,15.9,13.59,18.2
2007,27.2,24.18,30.26,,12.2,10.06,14.4
2008,25.3,22.21,28.49,,11.8,9.72,13.79
2009,22.3,19.74,24.88,,9.8,7.82,11.86
2010,19.3,16.46,22.11,,9.9,7.87,11.84
2011,22.6,19.86,25.28,,11.1,9.16,12.95
2012,26.1,23.77,28.46,,11.5,9.84,13.24
2013,23.2,20,26.34,,10.6,8.46,12.68
2014,20.1,17.7,22.5,,9.2,7.58,10.91
2015,18.6,16.31,20.85,,8.6,6.99,10.29
2016,19.7,17.8,21.54,,8.6,7.29,9.97
2017,20.6,18.59,22.61,,9.2,7.85,10.63
2018,23.2,20.64,25.75,,9.9,8.28,11.5
Note: Estimates include 95% confidence intervals. See appendix table 5 for estimates and standard errors.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2018.",,,,,,,
