Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cv18stat17a.csv,,,,,,,,,,,,,,,,,
"Appendix table 17a. Standard errors for table 12a: Violent incidents excluding simple assault, by total population, victim, and offender demographic characteristics, 2018",,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018 Public-Use File, special tabulation.",,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,
Date of version: 6/18/20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Appendix table 17a. Standard errors for table 12a: Violent incidents excluding simple assault, by total population, victim, and offender demographic characteristics, 2018",,,,,,,,,,,,,,,,,
,,,,,Percent of incidents,,,,,,,,,,,,
,,,,,Offender,,,,,,,Victim,,,,,
,,Number of incidents,,,,,95% confidence interval,,,,,,,95% confidence interval,,,
Demographic characteristic,,Offender,Victim ,,Standard error,,Lower bound,,Upper bound ,,,Standard error,,Lower bound,,Upper bound ,
,Total,"174,101","174,101",,~,,~,,~,,,~,,~,,~,
Sex,,,,,,,,,,,,,,,,,
,Male,"162,039","107,747",,2.64,%,77.18,%,87.53,%,,3.11,%,36.21,%,48.41,%
,Female,"47,490","133,509",,1.95,,9.91,,17.56,,,3.22,,51.38,,64,
,Both male and female offenders,"20,828",~,,0.95,,2.05,,5.77,,,~,,~,,~,
Race/Ethnicity,,,,,,,,,,,,,,,,,
,White,"109,443","135,181",,3.33,%,42.42,%,55.47,%,,3.21,%,52.43,%,65.04,%
,Black,"68,835","50,760",,2.67,,19.67,,30.14,,,1.93,,10.27,,17.82,
,Hispanic,"49,372","58,100",,2.1,,11.14,,19.35,,,2.14,,12.96,,21.35,
,Asian,"14,618","23,249",,0.71,,0.94,,3.74,,,0.98,,2.38,,6.21,
,Other,"26,552","28,114",,1.24,,3.54,,8.4,,,1.16,,3.49,,8.04,
,Multiple offenders of various races,"15,620",~,,0.76,,1.11,,4.09,,,~,,~,,~,
Age,,,,,,,,,,,,,,,,,
,11 or younger,"11,232",~,,0.56,%,0.44,%,2.66,%,,~,,~,,~,
, 12-17,"40,187","41,973",,1.8,,7.87,,14.93,,,1.65,%,7.35,%,13.81,%
,18-29,"75,311","92,307",,2.86,,23.28,,34.5,,,2.91,,28.11,,39.5,
,30 or older,"109,455","130,174",,3.35,,43.21,,56.35,,,3.23,,49.3,,61.94,
,Multiple offenders of various ages,"32,801",~,,1.52,,5.41,,11.36,,,~,,~,,~,
~Not applicable.,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018 Public-Use File, special tabulation.",,,,,,,,,,,,,,,,,
