Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cv18t01.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Number and rate of violent victimizations, by type of crime, 2014-2018",,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1. Number and rate of violent victimizations, by type of crime, 2014-2018",,,,,,,,,,,,,,,,,,,,,,,,
,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018*,
Type of violent crime,,,Number,,"Rate per 1,000/a",,,Number,,"Rate per 1,000/a",,,Number,,"Rate per 1,000/a",,,Number,,"Rate per 1,000/a",,,Number,"Rate per 1,000/a"
Violent crime/b,,,"5,359,570", †,20.1, ‡,,"5,006,620", †,18.6, †,,"5,353,820", †,19.7, †,,"5,612,670",,20.6,,,"6,385,520",23.2
,Rape/sexual assault/c,,"284,350", †,1.1, †,,"431,840", †,1.6, †,,"298,410", †,1.1, †,,"393,980", †,1.4, †,,"734,630",2.7
,Robbery,,"664,210",,2.5,,,"578,580",,2.1,,,"458,810",,1.7,,,"613,840",,2.3,,,"573,100",2.1
,Assault,,"4,411,010",,16.5,,,"3,996,200", †,14.8, †,,"4,596,600",,16.9,,,"4,604,850",,16.9,,,"5,077,790",18.4
,,Aggravated assault,"1,092,090",,4.1,,,"816,760", ‡,3,,,"1,040,580",,3.8,,,"993,170",,3.6,,,"1,058,040",3.8
,,Simple assault,"3,318,920", †,12.4, ‡,,"3,179,440", †,11.8, †,,"3,556,020",,13.1,,,"3,611,680",,13.3,,,"4,019,750",14.6
Violent crime excluding simple assault/d,,,"2,040,650",,7.7,,,"1,827,170", †,6.8, †,,"1,797,790", †,6.6, †,,"2,000,990", ‡,7.3,,,"2,365,770",8.6
Selected characteristics of violent crime,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic violence/e,,"1,109,880",,4.2,,,"1,094,660",,4.1,,,"1,068,120",,3.9,,,"1,237,960",,4.5,,,"1,333,050",4.8
,,Intimate partner violence/f,"634,610",,2.4,,,"806,050",,3,,,"597,200", †,2.2, †,,"666,310",,2.4,,,"847,230",3.1
,Stranger violence,,"2,166,130",,8.1,,,"1,821,310", †,6.8, †,,"2,082,410",,7.7,,,"2,034,100",,7.5,,,"2,493,750",9.1
,Violent crime involving injury,,"1,375,950",,5.2,,,"1,303,290",,4.8,,,"1,220,640",,4.5,,,"1,248,480",,4.6,,,"1,449,530",5.3
,Violent crime involving a weapon,,"1,306,900",,4.9,,,"977,840", ‡,3.6, ‡,,"1,203,200", ,4.4,,,"1,260,810",,4.6,,,"1,329,700",4.8
"Note: Details may not sum to totals due to rounding. Violent-crime categories include rape or sexual assault, robbery, aggravated assault, and simple assault, and they include threatened, attempted, and completed occurrences of those crimes. Other violent-crime categories in this table, including domestic violence and violent crime involving injury, are not mutually exclusive from these categories or from each other. See appendix table 6 for standard errors.",,,,,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,,,,,
"a/Rate is per 1,000 persons age 12 or older. See appendix table 26 for person populations.",,,,,,,,,,,,,,,,,,,,,,,,
b/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims.,,,,,,,,,,,,,,,,,,,,,,,,
c/See Methodology for details on the measurement of rape or sexual assault in the NCVS.,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes rape or sexual assault, robbery, and aggravated assault; this category was called serious violent crime in previous years.",,,,,,,,,,,,,,,,,,,,,,,,
e/Includes the subset of violent victimizations that were committed by intimate partners or family members.,,,,,,,,,,,,,,,,,,,,,,,,
"f/Includes the subset of violent victimizations that were committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,,,,
