Bureau of Justice Statistics,,,,,
Filename: cv18t08.csv,,,,,
"Table 8. Percent of violent victimizations for which victims received assistance from a victim-service agency, by type of crime, 2017 and 2018",,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,
Date of version: 9/10/19,,,,,
,,,,,
"Table 8. Percent of violent victimizations for which victims received assistance from a victim-service agency, by type of crime, 2017 and 2018",,,,,
Type of crime,,2017,,2018*,
Violent crime/a,,8.3,%,10.6,%
,Violent crime excluding simple assault/b,10.4,,12.8,
,Simple assault,7.1,,9.4,
Intimate partner violence/c,,14.9,%,18.1,%
Violent crime involving injury,,15.5,%,14.7,%
Violent crime involving a weapon,,9.8,%,11.2,%
Note: See appendix table 13 for standard errors. ,,,,,
*Comparison year.,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Includes threatened, attempted, and completed occurrences of those crimes. Excludes homicide because the National Crime Victimization Survey is based on interviews with victims.",,,,,
"b/Includes rape or sexual assault, robbery, and aggravated assault; this category was called serious violent crime in previous years.",,,,,
"c/Includes the subset of violent victimizations that were committed by current or former spouses, boyfriends, or girlfriends.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,
