Bureau of Justice Statistics,,,,,,,,
Filename: cv18t09.csv,,,,,,,,
"Table 9. Rate of violent victimization, by type of crime and demographic characteristics of victims, 2017 and 2018 ",,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,
Date of version: 9/10/19,,,,,,,,
,,,,,,,,
"Table 9. Rate of violent victimization, by type of crime and demographic characteristics of victims, 2017 and 2018 ",,,,,,,,
,,Total violent victimization/a,,,,Violent victimization excluding simple assault/b,,
Victim demographic characteristic,,2017,,2018*,,2017,,2018*
,Total,20.6,,23.2,,7.3,,8.6
Sex,,,,,,,,
,Male,20.4,,22.1,,7,,7.5
,Female,20.8,,24.3,,7.7, ‡,9.6
Race/ethnicity,,,,,,,,
,White/c,20.8,,24.7,,6.9,,8.2
,Black/c,21.8,,20.4,,7.9,,10
,Hispanic,20.7,,18.6,,9.5,,8.5
,Asian/c,6.9, †,16.2,,2.5, †,5.6
,"Other/c,d",45.5,,49.2,,15.4,,20.5
Age,,,,,,,,
, 12-17,33.5,,34.2,,10.4,,10.1
,18-24,34.7,,35.9,,18.3,,16.3
,25-34,26.3,,31.8,,8.5,,11.3
,35-49,20.1,,25.2,,7.4, ‡,9.8
,50-64,16.3,,18.3,,4.4, ‡ ,6.4
,65 or older,6.5,,6.5,,1.8,,2.3
Marital status,,,,,,,,
,Never married,31.2,,33.5,,12.1,,12.9
,Married,11.1,,12.1,,3.2,,4.1
,Widow/widower,11.5,,12.5,,5,,4.3
,Divorced,29, ‡,39.1,,9.7, †,14.8
,Separated,48.3,,58.2,,17.8,,20.8
Household income/e,,,,,,,,
,"Less than $25,000",32, ‡,40.8,,12.6, †,19
,"$25,000-$49,999",21.1,,23.5,,8.5,,9.3
,"$50,000-$99,999",17.8,,16.5,,5.3,,4.7
,"$100,000-$199,999",15.1,,19.2,,4.9,,5.8
,"$200,000 or more",9.7, ‡,16.3,,2.2,,3
"Note: Rates are per 1,000 persons age 12 or older. Includes threatened, attempted, and completed occurrences of those crimes. See appendix table 26 for person populations. See appendix table 14 for standard errors.",,,,,,,,
*Comparison year.,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the National Crime Victimization Survey is based on interviews with victims.",,,,,,,,
"b/Includes rape or sexual assault, robbery, and aggravated assault; this category was called serious violent crime in previous years.",,,,,,,,
"c/Excludes persons of Hispanic/Latino origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,
"d/Includes Native Hawaiians and Other Pacific Islanders, American Indians and Alaska Natives, and persons of two or more races.",,,,,,,,
e/Household income categories were expanded in July 2016.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,,,
