Bureau of Justice Statistics,,,,,,
Filename: cv18t11.csv,,,,,,
"Table 11. Firearm violence, 2017 and 2018",,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,
Date of version: 9/10/19,,,,,,
,,,,,,
"Table 11. Firearm violence, 2017 and 2018",,,,,,
,,,2017,,2018*,
Total violent incidents,,,"5,179,800 ‡",,"5,954,090",
,Firearm incidents/a,,"417,780",,"427,730",
Total violent victimizations,,,"5,612,670",,"6,385,520",
,Firearm victimizations/b,,"456,270",,"470,840",
Rate of firearm victimization/c,,,1.7,,1.7,
Firearm victimizations reported to police,,,,,,
,Number,,"254,910",,"310,310",
,Percent,,55.9,%,65.9,%
"Note: Includes violent crimes in which the offender possessed, showed, or used a firearm. See appendix table 16 for standard errors.",,,,,,
*Comparison year.,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,
a/An incident is a specific criminal act involving one or more victims. ,,,,,,
b/Each victimization represents one person involved in an incident.,,,,,,
"c/Rate is per 1,000 persons age 12 or older. See appendix table 26 for person populations.",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2017 and 2018.",,,,,,
