Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cv18t12.csv,,,,,,,,,,,,,,,
"Table 12. Percent and number of violent incidents, by total population, victim, and offender demographic characteristics, 2018",,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018.",,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 12. Percent and number of violent incidents, by total population, victim, and offender demographic characteristics, 2018",,,,,,,,,,,,,,,
,,,Number of violent incidents,,,,,Percent of violent incidents,,,,,Percent ratio,,
Demographic characteristic,,Population/a,Offender/b,Victim ,,Percent of population*/a,,Offender/b,,Victim ,,,Offender to victim ,Offender to population ,Victim to population 
,Total,"275,325,390","5,954,090","5,954,090",,100,%,100,%,100,%,,1,1,1
Sex,,,,,,,,,,,,,,,
,Male,"133,907,500","4,220,790","2,772,120",,48.6,%,77,% †,46.6,%,,1.7,1.6,1
,Female,"141,417,890","1,000,560","3,181,960",,51.4,,18.3, †,53.4,,,0.3,0.4,1
,Both male and female offenders,~,"258,250",~,,~,,4.7,,~,,,~,~,~
Race/ethnicity,,,,,,,,,,,,,,,
,White/c,"171,493,180","2,669,900","3,957,720",,62.3,%,50.2,% †,66.5,%,,0.8,0.8,1.1
,Black/c,"33,132,390","1,155,670","644,710",,12,,21.7, †,10.8,,,2,1.8,0.9
,Hispanic,"46,997,610","767,560","825,520",,17.1,,14.4,,13.9, †,,1,0.8,0.8
,Asian/c,"17,228,930","131,120","249,170",,6.3,,2.5, †,4.2, †,,0.6,0.4,0.7
,"Other/c,d","6,473,280","480,290","276,960",,2.4,,9, †,4.7, †,,1.9,3.8,2
,Multiple offenders of various races,~,"115,800",~,,~,,2.2,,~,,,~,~,~
Age,,,,,,,,,,,,,,,
,11 or younger/e,~,"80,170",~,,~,,1.6,% ,~,,,~,~,~
, 12-17,"24,917,160","711,220","809,230",,9.1,%,14, †,13.6,% †,,1,1.5,1.5
,18-29,"52,966,630","1,265,380","1,733,790",,19.2,,24.9, †,29.1, †,,0.9,1.3,1.5
,30 or older,"197,441,600","2,724,990","3,411,070",,71.7,,53.7, †,57.3, †,,0.9,0.7,0.8
,Multiple offenders of various ages,~,"295,230",~,,~,,5.8,,~,,,~,~,~
Note: Details may not sum to totals due to rounding and missing data for offender characteristics. An incident is a specific criminal act involving one or more victims. Offender characteristics are based on victims’ perceptions of offenders. See appendix table 17 for standard errors.,,,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,,
†Significant difference from comparison group at the 95% confidence level.,,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,,
a/The National Crime Victimization Survey population represents persons age 12 or older living in non-institutionalized residential settings in the U.S.,,,,,,,,,,,,,,,
"b/Includes incidents in which the perceived offender characteristics were reported. The sex of the offender was unknown in 8% of incidents, the race/ethnicity of the offender was unknown in 11% of incidents, and the age of the offender was unknown in 15% of incidents.",,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic/Latino origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,
"d/Includes Native Hawaiians and Other Pacific Islanders, American Indians and Alaska Natives, and persons of two or more races.",,,,,,,,,,,,,,,
"e/While the NCVS does not survey victims age 11 or younger, victims may report the offender to be age 11 or younger.",,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018.",,,,,,,,,,,,,,,
