Bureau of Justice Statistics,,,,,,,,,,
Filename: cv18t13.csv,,,,,,,,,,
"Table 13. Percent of violent incidents, by victim and offender sex, 2018",,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018.",,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,
,,,,,,,,,,
"Table 13. Percent of violent incidents, by victim and offender sex, 2018",,,,,,,,,,
,,,Offender sex,,,,,,,
Victim sex,,Number of violent incidents,Total,,Male,,Female,,Both male and female,
,Total,"5,479,590",100,%,77,%,18.3,%,4.7,%
Male*,,"2,527,920",100,%,81.3,,15.6,,3.2,
Female,,"2,951,670",100,%,73.4, †,20.6, ‡,6, †
Note: Details may not sum to totals due to rounding. An incident is a specific criminal act involving one or more victims. Offender sex is based on victims’ perceptions of offenders. Includes incidents in which the perceived sex of the offender was reported. The sex of the offender was unknown in 8% of incidents. See appendix table 18 for standard errors.,,,,,,,,,,
*Comparison group.,,,,,,,,,,
†Significant difference from comparison group at the 95% confidence level.,,,,,,,,,,
‡Significant difference from comparison group at the 90% confidence level.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2018.",,,,,,,,,,
