Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: cv18t17.csv,,,,,,,,,,,,,,,,,,,,,
"Table 17. Number and percent of persons who were victims of violent crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 17. Number and percent of persons who were victims of violent crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,,,,,
,,Number of victims/a,,,,,,,,,,Percent of persons/b,,,,,,,,,
Victim demographic characteristic,,2014,,2015,,2016,,2017,,2018*,,2014,,2015,,2016,,2017,,2018*,
,Total,"2,948,540", †,"2,650,670", †,"2,882,320", †,"3,106,340",,"3,254,250",,1.11,%,0.98,% †,1.06,% †,1.14,%,1.18,%
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,"1,497,420",,"1,227,870", †,"1,514,130",,"1,551,030",,"1,615,610",,1.15,%,0.94,% †,1.14,%,1.17,%,1.21,%
,Female,"1,451,110", ‡,"1,422,800", †,"1,368,190", †,"1,555,300",,"1,638,640",,1.06,,1.03, ‡,0.98, †,1.11,,1.16,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,
,White/c,"1,848,860",,"1,667,090", †,"1,785,680", †,"2,005,120",,"2,047,640",,1.07,% ‡,0.96,% †,1.03,% †,1.17,% ,1.19,% 
,Black/c,"453,650",,"394,770",,"377,950",,"389,340",,"416,850",,1.38,,1.19,,1.12,,1.19,,1.26,
,Hispanic,"457,320",,"400,720",,"488,700",,"496,370",,"493,520",,1.1,,0.93,,1.1,,1.09,,1.05,
,Asian/c,"61,850", †,"68,550", †,"117,920",,"68,290", †,"115,510",,0.46,,0.47,,0.75,,0.41, ‡,0.67,
,"Other/c,d","126,860", ‡,"119,530", †,"112,080", †,"147,220",,"180,730",,2.33,,2.27,,2.03, ‡,2.36,,2.79,
Age,,,,,,,,,,,,,,,,,,,,,
, 12-17,"422,460",,"407,850",,"313,470",,"459,160",,"377,420",,1.68,%,1.64,%,1.25,%,1.84,% ,1.51,% 
,18-24,"478,740",,"445,760",,"461,300",,"495,760",,"484,710",,1.58,,1.46,,1.52,,1.66,,1.62,
,25-34,"650,560",,"476,630", †,"689,590",,"659,150",,"684,250",,1.51,,1.09, †,1.56,,1.49,,1.52,
,35-49,"703,980",,"686,380",,"706,000",,"647,610", †,"779,070",,1.16,,1.13,,1.15,,1.06, †,1.27,
,50-64,"579,770",,"497,800", †,"541,330", †,"607,520",,"675,580",,0.93,,0.79, †,0.85, †,0.97,,1.07,
,65 or older,"113,030", †,"136,250", †,"170,640", †,"237,140",,"253,230",,0.25, †,0.29, †,0.36, †,0.48,,0.49,
Marital status,,,,,,,,,,,,,,,,,,,,,
,Never married,"1,482,570",,"1,343,010", †,"1,422,600",,"1,610,610",,"1,572,480",,1.61,%,1.44,%,1.49,%,1.67,% ,1.62,% 
,Married,"806,200",,"692,470", †,"827,920",,"780,050",,"899,040",,0.63,,0.54, †,0.65,,0.61,,0.7,
,Widow/widower,"77,420", †,"92,320", ‡,"88,310", †,"105,930",,"140,520",,0.53, †,0.62, ‡,0.59, †,0.71,,0.93,
,Divorced,"410,540", ‡,"428,830",,"408,710", †,"489,120",,"495,460",,1.58,,1.58,,1.5, †,1.83,,1.81,
,Separated,"151,630",,"84,370", †,"119,140",,"108,890",,"137,510",,2.99,,1.65, †,2.37,,2.21,,2.68,
"Note: Details may not sum to totals due to rounding and missing data. Violent-crime categories include rape or sexual assault, robbery, aggravated assault, and simple assault, and they include threatened, attempted, and completed occurrences of those crimes. See appendix table 22 for standard errors and appendix table 26 for person populations.",,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,,
a/Number of persons age 12 or older who experienced at least one violent victimization during the year.,,,,,,,,,,,,,,,,,,,,,
b/Percentage of persons age 12 or older who experienced at least one violent victimization during the year.,,,,,,,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic/Latino origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,
"d/Includes Native Hawaiians and Other Pacific Islanders, American Indians and Alaska Natives, and persons of two or more races. ",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,
