Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: cv18t19.csv,,,,,,,,,,,,,,,,,,,,,
"Table 19. Number and percent of persons who were victims of serious crime, 2014-2018",,,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 19. Number and percent of persons who were victims of serious crime, 2014-2018",,,,,,,,,,,,,,,,,,,,,
,,Number of victims/a,,,,,,,,,,Percent of persons/b,,,,,,,,,
Type of crime,,2014,,2015,,2016,,2017,,2018*,,2014,,2015,,2016,,2017,,2018*,
,Total serious crime/c,"5,034,030",,"4,793,040",,"4,708,410",,"4,529,520",,"4,636,730",,1.89,% †,1.78,%,1.73,%,1.66,%,1.68,%
Serious violent crime/d,,"1,184,530",,"1,063,530", †,"1,092,700", †,"1,170,460",,"1,277,820",,0.44,%,0.39,% †,0.4,% †,0.43,%,0.46,%
,Rape/sexual assault excl. threats and no-force contact,"99,660", †,"164,880", †,"131,760", †,"144,280", †,"254,320",,0.04, †,0.06, †,0.05, †,0.05, †,0.09,
,Robbery,"435,830",,"375,280",,"312,310",,"402,430",,"363,210",,0.16,,0.14,,0.11,,0.15,,0.13,
,Aggravated assault,"681,280",,"560,720", †,"680,770",,"646,540",,"694,260",,0.26,,0.21, ‡,0.25,,0.24,,0.25,
Serious property crime/e,,"3,950,790", †,"3,824,550",,"3,693,820",,"3,452,530",,"3,443,770",,1.48,% †,1.42,% ‡,1.36,%,1.27,%,1.25,%
,Completed burglary,"3,261,470", †,"3,083,640", ‡,"2,973,890",,"2,736,910",,"2,691,120",,1.22, †,1.14, †,1.09,,1,,0.98,
,Completed motor-vehicle theft,"733,560",,"801,770",,"802,270",,"746,630",,"794,040",,0.28,,0.3,,0.29,,0.27,,0.29,
Note: Details may not sum to totals because a person may experience multiple types of crime. See appendix table 24 for standard errors. ,,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,,
a/Number of persons age 12 or older who experienced at least one serious crime during the year.,,,,,,,,,,,,,,,,,,,,,
b/Percentage of persons age 12 or older who experienced at least one serious crime during the year.,,,,,,,,,,,,,,,,,,,,,
"c/Includes persons who were a victim of a serious violent crime or whose households experienced a completed burglary or completed motor-vehicle theft. For these crimes, offenders can generally be charged with a felony offense.",,,,,,,,,,,,,,,,,,,,,
"d/Includes completed rape or attempted rape, sexual assault with serious or minor injuries, completed forced sexual assault without injury, completed robbery, completed robbery without injury, attempted robbery with injury, attempted robbery without injury, completed aggravated assault with injury, attempted aggravated assault with a weapon, and threatened aggravated assault with a weapon. Excludes simple assault, threatened rape or sexual assault, and unwanted sexual contact (not rape) without force.",,,,,,,,,,,,,,,,,,,,,
"e/Includes completed burglary and completed motor-vehicle theft. Completed burglary includes unlawful or forcible entry of places, including a permanent residence, other residence (e.g., a hotel room or vacation residence), or other structure (e.g., a garage or shed) and involving a theft or attempted theft. Excludes attempted burglary, residential trespassing, and all other property crimes. This measure attributes a burglary to each person age 12 or older in the household. Completed motor-vehicle thefts were attributed to persons only when they were the reference person for their household or were age 12 or older and were related to the reference person.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,
