Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: cv18t20.csv,,,,,,,,,,,,,,,,,,,,,
"Table 20. Number and percent of persons who were victims of serious crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2018   NCJ 253043",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,
"Authors: Rachel E. Morgan, Ph.D., and Barbara A. Oudekerk, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,
Date of version: 9/10/19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 20. Number and percent of persons who were victims of serious crime, by demographic characteristics of victims, 2014-2018",,,,,,,,,,,,,,,,,,,,,
,,Number of victims/a,,,,,,,,,,Percent of persons/b,,,,,,,,,
Victim demographic characteristic,,2014,,2015,,2016,,2017,,2018*,,2014,,2015,,2016,,2017,,2018*,
,Total ,"5,034,030",,"4,793,040",,"4,708,410",,"4,529,520",,"4,636,730",,1.89,% †,1.78,%,1.73,%,1.66,%,1.68,%
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,"2,526,190",,"2,304,250",,"2,336,240",,"2,268,380",,"2,307,130",,1.94,% ‡,1.76,%,1.76,%,1.71,%,1.72,%
,Female,"2,507,850",,"2,488,790",,"2,372,170",,"2,261,150",,"2,329,600",,1.83, ‡,1.8,,1.7,,1.61,,1.65,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,
,White/c,"2,813,170",,"2,900,140",,"2,664,370",,"2,689,950",,"2,687,680",,1.62,%,1.68,%,1.54,%,1.57,%,1.57,%
,Black/c,"856,140",,"691,130",,"697,110",,"639,140",,"732,020",,2.61,,2.08,,2.07,,1.95,,2.21,
,Hispanic,"1,035,610",,"900,690",,"951,050",,"864,110",,"889,800",,2.5, †,2.08,,2.14,,1.9,,1.89,
,Asian/c,"135,800",,"131,970",,"239,890", †,"156,020",,"124,380",,1.01,,0.9,,1.53, †,0.94,,0.72,
,"Other/c,d","193,310",,"169,100",,"155,990",,"180,300",,"202,860",,3.55,,3.21,,2.83,,2.88,,3.13,
Age,,,,,,,,,,,,,,,,,,,,,
, 12-17,"642,470", †,"599,550",,"559,090",,"534,530",,"485,480",,2.56,% † ,2.41,% ,2.23,% ,2.15,% ,1.95,% 
,18-24,"854,980", †,"666,590", ‡,"709,140", †,"618,610",,"553,530",,2.81, †,2.19,,2.34, †,2.07,,1.86,
,25-34,"828,380",,"881,650",,"845,940",,"806,790",,"831,150",,1.92,,2.02,,1.91,,1.82,,1.85,
,35-49,"1,234,370",,"1,169,990",,"1,097,240",,"1,065,690",,"1,115,800",,2.03,,1.92,,1.79,,1.75,,1.82,
,50-64,"1,000,210",,"933,420",,"975,470",,"984,320",,"1,004,830",,1.6,,1.48,,1.54,,1.56,,1.6,
,65 or older,"473,620", †,"541,830", ‡,"521,540", †,"519,590", †,"645,940",,1.05,,1.16,,1.09,,1.05, ‡,1.26,
Marital status,,,,,,,,,,,,,,,,,,,,,
,Never married,"2,268,180", †,"2,021,850",,"2,042,010",,"1,940,140",,"1,920,450",,2.47,% †,2.17,%,2.14,%,2.02,%,1.98,%
,Married,"1,728,560",,"1,735,080",,"1,682,680",,"1,686,090",,"1,585,130",,1.36,,1.36,,1.32,,1.32,,1.23,
,Widow/widower,"211,140", †,"192,540", †,"199,440", †,"186,380", †,"297,020",,1.44, †,1.3, †,1.32, †,1.26, †,1.96,
,Divorced,"611,770",,"677,880",,"612,210",,"549,210", ‡,"652,090",,2.35,,2.5,,2.25,,2.05, ‡,2.38,
,Separated,"174,010",,"136,730",,"140,620",,"145,170",,"170,380",,3.43,,2.67,,2.8,,2.94,,3.32,
"Note: Details may not sum to totals due to rounding and missing data. Serious crimes are those that are generally prosecuted as felonies; these include most completed or attempted violent crimes apart from simple assault, and completed burglaries and motor-vehicle thefts. See Prevalence of serious crime in the National Crime Victimization Survey text box for more information, page 17). See appendix table 25 for standard errors. ",,,,,,,,,,,,,,,,,,,,,
*Comparison year.,,,,,,,,,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,,,,,,,,,
a/Number of persons age 12 or older who experienced at least one serious victimization during the year.,,,,,,,,,,,,,,,,,,,,,
b/Percentage of persons age 12 or older who experienced at least one serious victimization during the year.,,,,,,,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic/Latino origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,
d/Includes Native Hawaiians and Other Pacific Islanders; American Indians and Alaska Natives; and persons of two or more races. ,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014-2018.",,,,,,,,,,,,,,,,,,,,,
